key_ind,zaehler,indication_class_de,name_de,name_en,translation_source,translation_date,confidence_level,validation_status,review_source,review_date,reviewed_name_en,review_notes
00,1,Veterinärpräparat,Veterinärpräparat,Veterinary preparation,qwen3.8-flash-next,2026-08-29,high,corrected,openai-codex-manual-review,2026-08-29,Veterinary medicinal product,Manual review against current clinical nomenclature.
01,1,Anästhetika / Narkotika,Anästhetika,Anesthetics / Narcotics,qwen3.8-flash-next,2026-08-29,high,corrected,openai-codex-manual-review,2026-08-29,Anesthetics,Manual review against current clinical nomenclature.
01A,1,Lokalanästhetika,Lokalanästhetika,Local anesthetics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A01,1,"Injizierbare, ohne Vasokonstringens",Epiduralanästhesie,Epidural anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A01,2,"Injizierbare, ohne Vasokonstringens",Geburtshilfliche Analgesie,Obstetric analgesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A01,3,"Injizierbare, ohne Vasokonstringens",Infiltrationsanästhesie,Infiltration anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A01,4,"Injizierbare, ohne Vasokonstringens",Langzeitanästhesie,Long-acting anesthesia,qwen3.8-flash-next,2026-08-29,high,corrected,openai-codex-manual-review,2026-08-29,Prolonged anesthesia,Manual review against current clinical nomenclature.
01A01,5,"Injizierbare, ohne Vasokonstringens",Leitungsanästhesie,Nerve block anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A01,6,"Injizierbare, ohne Vasokonstringens","Lokalanästhetika, injizierbare",Injectable local anesthetics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A01,7,"Injizierbare, ohne Vasokonstringens",Regionalanästhesie,Regional anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A01,8,"Injizierbare, ohne Vasokonstringens",Spinalanästhesie,Spinal anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A02,1,"Injizierbare, speziell für die Neuraltherapie, rein",Nervenschmerzen,Nerve pain,qwen3.8-flash-next,2026-08-29,high,corrected,openai-codex-manual-review,2026-08-29,Neuropathic pain,Manual review against current clinical nomenclature.
01A02,2,"Injizierbare, speziell für die Neuraltherapie, rein",Neuralgien,Neuralgias,qwen3.8-flash-next,2026-08-29,high,corrected,openai-codex-manual-review,2026-08-29,Neuralgia,Manual review against current clinical nomenclature.
01A02,3,"Injizierbare, speziell für die Neuraltherapie, rein","Neuraltherapeutika, rein","Neural therapy agents, pure",qwen3.8-flash-next,2026-08-29,high,corrected,openai-codex-manual-review,2026-08-29,"Neural therapy agents, plain",Manual review against current clinical nomenclature.
01A02,4,"Injizierbare, speziell für die Neuraltherapie, rein",Trigeminusneuralgie,Trigeminal neuralgia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A03,1,"Injizierbare, mit Vasokonstringens",Epiduralanästhesie,Epidural anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A03,2,"Injizierbare, mit Vasokonstringens",Infiltrationsanästhesie,Infiltration anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A03,3,"Injizierbare, mit Vasokonstringens",Kaudalanästhesie,Caudal anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A03,4,"Injizierbare, mit Vasokonstringens",Leitungsanästhesie,Nerve block anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A03,5,"Injizierbare, mit Vasokonstringens","Lokalanästhetika, injizierbare mit Vasokonstringens",Injectable local anesthetics with vasoconstrictor,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A03,6,"Injizierbare, mit Vasokonstringens",Oberflächenanästhesie an den Schleimhäuten,Topical anesthesia of mucous membranes,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A03,7,"Injizierbare, mit Vasokonstringens",Regionalanästhesie,Regional anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A03,8,"Injizierbare, mit Vasokonstringens",Zahnextraktionen,Tooth extraction,qwen3.8-flash-next,2026-08-29,high,corrected,openai-codex-manual-review,2026-08-29,Tooth extractions,Manual review against current clinical nomenclature.
01A04,1,"Injizierbare, Kombinationen speziell für die Neuraltherapie",Nervenschmerzen,Neuralgia,qwen3.8-flash-next,2026-08-29,high,corrected,openai-codex-manual-review,2026-08-29,Neuropathic pain,Manual review against current clinical nomenclature.
01A04,2,"Injizierbare, Kombinationen speziell für die Neuraltherapie",Neuralgien,Neuralgia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A04,3,"Injizierbare, Kombinationen speziell für die Neuraltherapie","Neuraltherapeutika, Kombinationen","Neural therapy agents, combinations",qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A04,4,"Injizierbare, Kombinationen speziell für die Neuraltherapie",Trigeminusneuralgie,Trigeminal neuralgia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A05,1,Oberflächenanästhesie vor medizinischen Eingriffen,"Blutentnahme, lokale Anästhesie","Blood sampling, local anesthesia",qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A05,2,Oberflächenanästhesie vor medizinischen Eingriffen,Hautoperationen,Skin surgery,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A05,3,Oberflächenanästhesie vor medizinischen Eingriffen,Intubation,Intubation,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A05,4,Oberflächenanästhesie vor medizinischen Eingriffen,Katheterisierung,Catheterization,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A05,5,Oberflächenanästhesie vor medizinischen Eingriffen,Oberflächenanästhesie vor medizinischen Eingriffen,Topical anesthesia prior to medical procedures,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,1,Oberflächenanästhesie bei Hauterkrankungen,Brandwunden,Burns,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,2,Oberflächenanästhesie bei Hauterkrankungen,Ekzem,Eczema,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,3,Oberflächenanästhesie bei Hauterkrankungen,Gürtelrose,Herpes zoster,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,4,Oberflächenanästhesie bei Hauterkrankungen,"Hautausschlag, juckender",Pruritic rash,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,5,Oberflächenanästhesie bei Hauterkrankungen,Hautflechte,Lichen planus,qwen3.8-flash-next,2026-08-29,low,rejected,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,6,Oberflächenanästhesie bei Hauterkrankungen,Hautjucken,Pruritus,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,7,Oberflächenanästhesie bei Hauterkrankungen,Herpes Zoster,Herpes zoster,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,8,Oberflächenanästhesie bei Hauterkrankungen,Insektenstiche,Insect bites,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,9,Oberflächenanästhesie bei Hauterkrankungen,Juckreiz,Pruritus,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,10,Oberflächenanästhesie bei Hauterkrankungen,Oberflächenanästhesie bei Hauterkrankungen,Topical anesthesia for skin diseases,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,11,Oberflächenanästhesie bei Hauterkrankungen,Pruritus,Pruritus,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,12,Oberflächenanästhesie bei Hauterkrankungen,Sonnenbrand,Sunburn,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,13,Oberflächenanästhesie bei Hauterkrankungen,Verbrennungen,Burns,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01A06,14,Oberflächenanästhesie bei Hauterkrankungen,Windpocken,Chickenpox,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01B,1,Inhalationsnarkotika,Allgemeinanästhetika,General anesthetics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01B,2,Inhalationsnarkotika,Inhalationsnarkotika,Inhalation anesthetics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01B,3,Inhalationsnarkotika,Narkotika,Anesthetics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01C,1,Injektionsnarkotika,Allgemeinanästhetika,General anesthetics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01C,2,Injektionsnarkotika,Injektionsnarkotika,Injectable anesthetics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01C,3,Injektionsnarkotika,Narkoseeinleitung,Induction of anesthesia,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01C,4,Injektionsnarkotika,Narkotika,Anesthetics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01D,1,Neuroleptanalgetika,Allgemeinanästhetika,General anesthetics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01D,2,Neuroleptanalgetika,Narkotika,Anesthetics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
01D,3,Neuroleptanalgetika,Neuroleptanalgetika,Neuroleptanalgesics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02,1,Analgetika/ Antipyretika,Analgetika/ Antipyretika,Analgesics/Antipyretics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02,2,Analgetika/ Antipyretika,Schmerzen,Pain,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02,3,Analgetika/ Antipyretika,Schmerzmittel,Analgesics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A,1,Opioide,"Analgetika, stark wirkende",Strong analgesics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A,2,Opioide,"Analgetika, zentrale",Central analgesics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A,3,Opioide,Hypnoanalgetika,Hypnoanalgesics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A,4,Opioide,Narkoanalgetika,Narcoanalgesics,qwen3.8-flash-next,2026-08-29,high,corrected,openai-codex-manual-review,2026-08-29,Opioid analgesics,Manual review against current clinical nomenclature.
02A,5,Opioide,Opiate,Opiates,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A,6,Opioide,Opioid-Analgetika,Opioid analgesics,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A01,1,Opioide (Morphin-Typ),Morphin und Morphin-Derivate,Morphine and morphine derivatives,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A01,2,Opioide (Morphin-Typ),Opioide (Morphin-Typ),Opioids (morphine type),qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A02,1,Opioide (Pethidin-Typ),Opioide (Pethidin-Typ),Opioids (pethidine type),qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A02,2,Opioide (Pethidin-Typ),Pethidin und Pethidin-Derivate,Pethidine and pethidine derivatives,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A03,1,Opioide (Methadon-Typ),Methadon und Methadon-Derivate,Methadone and methadone derivatives,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A03,2,Opioide (Methadon-Typ),Opioide (Methadon-Typ),Opioids (methadone type),qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A04,1,Opioide (Fentanyl-Typ),Fentanyl- und Fentanyl-Derivate,Fentanyl and fentanyl derivatives,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A04,2,Opioide (Fentanyl-Typ),Opioide (Fentanyl-Typ),Opioids (fentanyl type),qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A05,1,Opioide (Tramadol-Typ),Opioide (Tramadol-Typ),Opioids (tramadol type),qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A05,2,Opioide (Tramadol-Typ),Tramadol und Tramadol-Derivate,Tramadol and tramadol derivatives,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A06,1,Opioide (Tapentadol-Typ),Opioid-Agonisten/Noradrenalin-Reuptakehemmer,Opioid agonists/noradrenaline reuptake inhibitors,qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
02A06,2,Opioide (Tapentadol-Typ),Opioide (Tapentadol-Typ),Opioids (tapentadol type),qwen3.8-flash-next,2026-08-29,high,valid,openai-codex-manual-review,2026-08-29,,Manual review against current clinical nomenclature.
